2016年03月26日,,,
,,,前田玲奈
,,M05.奇跡を信じて！,
,,,大坪由佳､前田玲奈､巽悠衣子
,「ウマ娘 プリティーダービーSTARTING GATE 04」 発売記念イベント 第2回@科学技術館サイエンスホール(東京・千代田区),,
,,M01.うまぴょい伝説,
,,,和氣あず未､高野麻里佳､Machico､大坪由佳､前田玲奈､巽悠衣子
,,M02.直感ノープロブレム！,
,,,大坪由佳
,,M03.鳥かごのロンリーバード,
,,,巽悠衣子
,,M04.Secret GRADUATION,
,,,前田玲奈
,,M05.奇跡を信じて！,
,,,大坪由佳､前田玲奈､巽悠衣子
2017年04月29日,,,
,「ウマ娘 プリティーダービー STARTING GATE 05」 発売記念イベント 第1回@科学技術館サイエンスホール(東京・千代田区),,
,,M01.うまぴょい伝説,
,,,和氣あず未､Machico､髙橋ミナミ､徳井青空
,,M02.わたしの印は大本命◎,
,,,和氣あず未
,,M03.L’s Surprise!!,
,,,髙橋ミナミ
,,M04.帝笑歌劇～讃えよ永久に～,
,,,徳井青空
,,M05.世界は僕らの言いなりさ,
,,,Machico､髙橋ミナミ､徳井青空
,「ウマ娘 プリティーダービー STARTING GATE 05」 発売記念イベント 第2回@科学技術館サイエンスホール(東京・千代田区),,
,,M01.うまぴょい伝説,
,,,和氣あず未､Machico､髙橋ミナミ､徳井青空
,,M02.わたしの印は大本命◎,
,,,和氣あず未
,,M03.L’s Surprise!!,
,,,髙橋ミナミ
,,M04.帝笑歌劇～讃えよ永久に～,
,,,徳井青空
,,M05.世界は僕らの言いなりさ,
,,,Machico､髙橋ミナミ､徳井青空
2017年05月07日,,,
,マチ★アソビ vol.18 3日目 ぱかラジッ！公開録音in徳島@新町橋東公園ステージ(徳島・徳島市),,
,,M01.うまぴょい伝説,
,,,和氣あず未､高野麻里佳､Machico､髙橋ミナミ､相坂優歌
,,M02.うまぴょい伝説,
,,,和氣あず未､高野麻里佳､Machico､髙橋ミナミ､相坂優歌
2017年05月13日,,,
,「ウマ娘 プリティーダービー STARTING GATE 06」 発売記念イベント 第1回@科学技術館サイエンスホール(東京・千代田区),,
,,M01.うまぴょい伝説,
,,,和氣あず未､高野麻里佳､Machico､田所あずさ､青木瑠璃子､相坂優歌
,,M02.シャドーロールの誓い,
,,,相坂優歌
,,M03.EMPRESS GAME,
,,,田所あずさ
,,M04.SEVEN,
,,,青木瑠璃子
,,M05.大好きのタカラバコ,
,,,田所あずさ､青木瑠璃子､相坂優歌
,「ウマ娘 プリティーダービー STARTING GATE 06」 発売記念イベント 第2回@科学技術館サイエンスホール(東京・千代田区),,
,,M01.うまぴょい伝説,
,,,和氣あず未､高野麻里佳､Machico､田所あずさ､青木瑠璃子､相坂優歌
,,M02.シャドーロールの誓い,
,,,相坂優歌
,,M03.EMPRESS GAME,
,,,田所あずさ
,,M04.SEVEN,
,,,青木瑠璃子
,,M05.大好きのタカラバコ,
,,,田所あずさ､青木瑠璃子､相坂優歌
2017年07月01日,,,
,ウマ娘 1st EVENT「Special Weekend!」@舞浜アンフィシアター(千葉・浦安市),,
,,M01.うまぴょい伝説,
,,,和氣あず未､高野麻里佳､Machico､松井恵理子､高柳知葉､上田瞳､大橋彩香､木村千咲､大坪由佳､前田玲奈､巽悠衣子､大西沙織､髙橋ミナミ､青木瑠璃子､相坂優歌
,,M02.Fanfare for Future!,
,,,和氣あず未､高野麻里佳､Machico
,,M03.恋はダービー☆,
,,,Machico
,,M04.直感ノープロブレム！,
,,,大坪由佳
,,M05.世界は僕らの言いなりさ,
,,,Machico､大西沙織､髙橋ミナミ
,,M06.ぼくらのブルーバードデイズ,
,,,上田瞳､大橋彩香､木村千咲
,,M07.Goal To My SHIP,
,,,上田瞳
,,M08.L’s Surprise!!,
,,,髙橋ミナミ
,,M09.わたしの印は大本命◎,
,,,和氣あず未
,,M10.奇跡を信じて！,
,,,大坪由佳､前田玲奈､巽悠衣子
,,M11.うまぴょい伝説,
,,,和氣あず未､高野麻里佳､Machico､松井恵理子､高柳知葉､上田瞳､大橋彩香､木村千咲､大坪由佳､前田玲奈､巽悠衣子､大西沙織､髙橋ミナミ､青木瑠璃子､鬼頭明里､三澤紗千香､渡部恵子､相坂優歌
,,M12.UNLIMITED IMPACT,
,,,松井恵理子､高柳知葉､上田瞳
,,M13.Rising Girl,
,,,木村千咲
,,M14.CATCH THE VICTORY!,
,,,大橋彩香
,,M15.鳥かごのロンリーバード,
,,,巽悠衣子
,,M16.unbreakable,
,,,高柳知葉
,,M17.Secret GRADUATION,
,,,前田玲奈
,,M18.Waiting for Tomorrow,
,,,大西沙織
,,M19.DREAM JACK,
,,,松井恵理子
,,M20.EMPRESS GAME,
,,,青木瑠璃子
,,M21.シャドーロールの誓い,
,,,相坂優歌
,,M22.Silent Star,
,,,高野麻里佳
,,M23.大好きのタカラバコ,
,,,和氣あず未､青木瑠璃子､相坂優歌
,,M24.ENDLESS DREAM!!,
,,,和氣あず未､高野麻里佳､Machico､松井恵理子､高柳知葉､上田瞳､大橋彩香､木村千咲､大坪由佳､前田玲奈､巽悠衣子､大西沙織､髙橋ミナミ､青木瑠璃子､相坂優歌
2017年09月09日,,,
,響 – HiBiKi Radio Station – × Cygames 公開録音まつり ぱかラジッ！～ウマ娘広報部～＆プリコネチャンネルRe:Dive@TFT HALL 1000(東京・江東区),,
,,M01.ENDLESS DREAM!!,
,,,和氣あず未､高野麻里佳､Machico
,,M02.うまぴょい伝説,
,,,和氣あず未､高野麻里佳､Machico
2017年10月08日,,,
,マチ★アソビ vol.19 2日目 ぱかラジッ！公開録音in徳島 vol.2@新町橋東公園ステージ(徳島・徳島市),,
,,M01.うまぴょい伝説,
,,,和氣あず未､松井恵理子､高柳知葉､木村千咲､大坪由佳､徳井青空
,,M02.ENDLESS DREAM!!,
,,,和氣あず未､松井恵理子､高柳知葉､木村千咲､大坪由佳､徳井青空
2017年12月16日,,,
,ウマ娘 プリティーダービー 2017年ファイナルイベント＆アニメ新情報発表会 有明記念@ディファ有明(東京・江東区),,
,,M01.うまぴょい伝説,
,,,和氣あず未､高野麻里佳､Machico､松井恵理子､高柳知葉､上田瞳､大橋彩香､木村千咲､前田玲奈､鬼頭明里､香坂さき､首藤志奈､新田ひより､相坂優歌
,,M02.ENDLESS DREAM!!,
,,,和氣あず未､高野麻里佳､Machico､松井恵理子､高柳知葉､上田瞳､大橋彩香､木村千咲､前田玲奈､鬼頭明里､香坂さき､首藤志奈､新田ひより､相坂優歌
,,M03.奇跡を信じて！,
,,,和氣あず未､鬼頭明里､新田ひより
,,M04.ぼくらのブルーバードデイズ,
,,,上田瞳､大橋彩香､木村千咲
,,M05.UNLIMITED IMPACT,
,,,高柳知葉､香坂さき
,,M06.禁断Burning Heart,
,,,前田玲奈
,,M07.帝笑歌劇～讃えよ永久に～,
,,,松井恵理子
,,M08.SEVEN,
,,,Machico
,,M09.大好きのタカラバコ,
,,,高野麻里佳､首藤志奈､相坂優歌
,,M10.うまぴょい伝説,
,,,和氣あず未､高野麻里佳､Machico､松井恵理子､高柳知葉､上田瞳､大橋彩香､木村千咲､前田玲奈､鬼頭明里､香坂さき､首藤志奈､新田ひより､相坂優歌
2018年03月17日,,,
,「ウマ娘 プリティーダービー STARTING GATE 07&08」発売記念イベント@横浜ベイホール(神奈川・横浜中区),,
,,M01.うまぴょい伝説,
,,,和氣あず未､高野麻里佳､Machico､鬼頭明里､山本希望､香坂さき､優木かな､首藤志奈､新田ひより
,,M02.A・NO・NE,
,,,鬼頭明里､山本希望､香坂さき
,,M03.Lucky Comes True!,
,,,新田ひより
,,M04.今日もウララかケセラセラ！,
,,,首藤志奈
,,M05.気まぐれTuning Heart,
,,,鬼頭明里
,,M06.素顔のココロ,
,,,香坂さき
,,M07.ふんわりSlowly,
,,,優木かな
,,M08.シティプリンセス！,
,,,山本希望
,,M09.PRESENT MARCH♪,
,,,優木かな､首藤志奈､新田ひより
2018年05月05日,,,
,マチ★アソビ Vol.20 ウマ娘 プリティーダービー ぱかラジッ！アニメ版 公開録音 in徳島@新町橋東公園ステージ(徳島・徳島市),,
,,M01.Make debut!,
,,,和氣あず未､高野麻里佳､Machico､上田瞳､木村千咲
,,M02.うまぴょい伝説,
,,,和氣あず未､高野麻里佳､Machico､上田瞳､木村千咲
2018年05月13日,,,
,「ウマ娘 プリティーダービー STARTING GATE 09&10」発売記念イベント@科学技術館サイエンスホール(東京・千代田区),,
,,M01.うまぴょい伝説,
,,,和氣あず未､高野麻里佳､Machico､大空直美､橋本ちなみ､土師亜文､三澤紗千香､大和田仁美､田中あいみ
,,M02.猪突猛進爆進中!!,
,,,三澤紗千香
,,M03.一撃入魂☆ペガサスパンチ,
,,,田中あいみ
,,M04.全速！前進！ウマドルパワー☆,
,,,大和田仁美
,,M05.青春が待ってる,
,,,橋本ちなみ､土師亜文､大和田仁美
,,M06.希望ディスカバリー,
,,,土師亜文
,,M07.My Against Fight,
,,,大空直美
,,M08.恋する世界,
,,,橋本ちなみ
,,M09.ユメゾラ,
,,,大空直美､三澤紗千香､田中あいみ
2018年07月08日,,,
,「ウマ娘 プリティーダービー アニメOP＆ED主題歌」発売記念イベント@日テレらんらんホール(東京・稲城市),,
,,M01.Make debut!,
,,,和氣あず未､高野麻里佳､Machico､上田瞳､大橋彩香､木村千咲､前田玲奈､大西沙織､髙橋ミナミ､鬼頭明里
,,M02.グロウアップ・シャイン！,
,,,和氣あず未､高野麻里佳､Machico､上田瞳､大橋彩香､木村千咲､前田玲奈､大西沙織､髙橋ミナミ､鬼頭明里
,,M03.うまぴょい伝説,
,,,和氣あず未､高野麻里佳､Machico､上田瞳､大橋彩香､木村千咲､前田玲奈､大西沙織､髙橋ミナミ､鬼頭明里
2018年07月15日,,,
,『ウマ娘 プリティーダービー』STARTING GATE 11&12発売記念イベント@科学技術館サイエンスホール(東京・千代田区),,
,,M01.うまぴょい伝説,
,,,和氣あず未､高野麻里佳､Machico､近藤唯､渡部優衣､津田美波､渡部恵子､前田佳織里
,,M02.手綱と絆,
,,,近藤唯
,,M03.感情ノ黎明,
,,,渡部恵子
,,M04.アウト・オブ・トライアングル,
,,,前田佳織里
,,M05.Air Race,
,,,津田美波
,,M06.WINNING MELODY,
,,,渡部優衣
,,M07.Go This Way,
